factor,ic,abs_ic,top_return,bottom_return,long_short_return,period
amplitude,-0.03764442252463568,0.03764442252463568,0.0006274989757799188,0.0006022883807491093,2.5210595030809467e-05,1
volatility_10d,-0.03006410255155143,0.03006410255155143,0.0020911795539965868,0.0002921776087355158,0.001799001945261071,1
ma10_position,-0.02910993806383103,0.02910993806383103,0.001978260150846581,0.0004247984568269959,0.001553461694019585,1
volatility_20d,-0.027300275354555734,0.027300275354555734,0.0022263525855857904,0.0004060889311025094,0.0018202636544832809,1
return_10d,-0.0211163180166649,0.0211163180166649,0.0021258877943282346,0.0006525433534411495,0.0014733444408870852,1
momentum_10d,-0.0211163180166649,0.0211163180166649,0.0021258877943282346,0.0006525433534411495,0.0014733444408870852,1
volatility_5d,-0.01941246742780081,0.01941246742780081,0.0016972436367765262,-0.0005752366198060216,0.002272480256582548,1
momentum_5d,-0.018921492317242675,0.018921492317242675,0.0018149930995540388,-0.00022918156527041144,0.0020441746648244504,1
return_5d,-0.018921492317242675,0.018921492317242675,0.0018149930995540388,-0.00022918156527041144,0.0020441746648244504,1
reversal_5d,0.018921492317242675,0.018921492317242675,-0.00022918156527041144,0.0018149930995540388,-0.0020441746648244504,1
return_1d,-0.018851090577490334,0.018851090577490334,0.002852443273406851,0.0007919053959963737,0.0020605378774104775,1
ma20_position,-0.016996421648778397,0.016996421648778397,0.002200989658455832,9.820849264396313e-05,0.0021027811658118688,1
high_60d,-0.01592184754012263,0.01592184754012263,0.001069224538182068,0.0007128683700439542,0.00035635616813811384,1
ma5_position,-0.01591379445905578,0.01591379445905578,0.002723478336351859,0.00017057445202594187,0.0025529038843259168,1
ma5,-0.01399188757506468,0.01399188757506468,0.0010943003043149952,0.0005269281160812967,0.0005673721882336985,1
ma60,-0.012849006537897743,0.012849006537897743,0.0011284966734103725,0.00021412225478572303,0.0009143744186246494,1
ma20,-0.012760262727402862,0.012760262727402862,0.001203659370565733,0.0003656044766340126,0.0008380548939317204,1
return_60d,-0.012737843066507243,0.012737843066507243,0.0014798657242256455,-2.664600766620857e-05,0.001506511731891854,1
body_ratio,0.01220664178955387,0.01220664178955387,0.002226308679635214,0.0011411826798792357,0.0010851259997559785,1
ma10,-0.012101028554927605,0.012101028554927605,0.001043037831681311,0.0003133544311997047,0.0007296834004816063,1
price_position_60d,-0.010434551025327345,0.010434551025327345,0.002395648238680787,-0.00035596913046640047,0.0027516173691471877,1
low_60d,-0.009903422795902398,0.009903422795902398,0.001086668228328158,0.00017881805443269476,0.0009078501738954633,1
ma60_position,-0.008194540748438398,0.008194540748438398,0.002957545339134726,0.0005857148982136323,0.002371830440921094,1
amount_change_5d,-0.004151004979328533,0.004151004979328533,0.0016920260262830035,0.0003449666486388786,0.0013470593776441248,1
return_20d,-0.0032932989075096434,0.0032932989075096434,0.0022129472085996825,-0.0007632802516452814,0.002976227460244964,1
momentum_20d,-0.0032932989075096434,0.0032932989075096434,0.0022129472085996825,-0.0007632802516452814,0.002976227460244964,1
vol_change_5d,-0.0031427359601328164,0.0031427359601328164,0.0019898089642315722,0.00046401083138251854,0.0015257981328490537,1
vol_price_divergence,-0.0021646860116273305,0.0021646860116273305,0.002065361467736927,0.0006164454648644211,0.0014489160028725058,1
amplitude,-0.05124437642106014,0.05124437642106014,0.0038675972344462293,0.0016673127229295103,0.002200284511516719,5
volatility_5d,-0.04149325532440411,0.04149325532440411,0.00466506927966056,0.002664057800709082,0.0020010114789514783,5
ma10_position,-0.04116870508063419,0.04116870508063419,0.005972687872741843,0.0031412952803536315,0.0028313925923882117,5
momentum_5d,-0.03835140157177277,0.03835140157177277,0.005069698698824355,0.002973234578537564,0.002096464120286791,5
reversal_5d,0.03835140157177277,0.03835140157177277,0.002973234578537564,0.005069698698824355,-0.002096464120286791,5
return_5d,-0.03835140157177277,0.03835140157177277,0.005069698698824355,0.002973234578537564,0.002096464120286791,5
volatility_10d,-0.03834855479869426,0.03834855479869426,0.0073957635191866196,0.00234578703526024,0.005049976483926379,5
volatility_20d,-0.03686140047224002,0.03686140047224002,0.010056933302816434,0.003255245111331136,0.006801688191485298,5
return_10d,-0.02771150720693564,0.02771150720693564,0.006037212727135121,0.004853166556862024,0.001184046170273097,5
momentum_10d,-0.02771150720693564,0.02771150720693564,0.006037212727135121,0.004853166556862024,0.001184046170273097,5
return_60d,-0.020672654097086754,0.020672654097086754,0.005949879956758699,-0.001691962526529662,0.007641842483288361,5
body_ratio,0.019533507064600285,0.019533507064600285,0.006801838631585378,0.0035387330176898184,0.0032631056138955595,5
price_position_60d,-0.016947142121285803,0.016947142121285803,0.008095319955118365,0.0006597097523540723,0.007435610202764292,5
ma5_position,-0.015976321018278637,0.015976321018278637,0.008022163867138422,0.002239589269350694,0.005782574597787729,5
amount_change_5d,-0.015659584538261294,0.015659584538261294,0.004409537680949083,0.0012603705841523734,0.00314916709679671,5
