factor,ic_1d,long_short_1d,ic_3d,long_short_3d,ic_5d,long_short_5d,ic_10d,long_short_10d
return_1d,-0.017865762732640143,0.0016077721452749912,-0.004061438279214561,0.0021875469727649817,0.003477497913452264,0.0037750405161960433,-0.0002222474679474582,0.002769961296222272
candlestick_pressure,-0.014886469786785404,0.0018086147889812448,-0.0014615449784064856,0.0023197490408024693,0.0008980190991824739,0.0023571969068461505,-0.0032360425825140463,0.0010930144602897657
volume_acceleration,-0.006257941634578436,-0.00037705387320160523,-0.005918519914991731,-0.000509050280875817,0.0004488637453203395,0.000497801209604678,0.0016865018611125794,0.00030720516318978147
price_deviation,-0.016013079406705957,0.0009588906994985263,-0.008974490465286809,0.0021247781636093287,-0.006452162828061531,0.0042302336270496595,0.027050615703662,0.01647115169583626
log_volume,-0.025146023892610798,-0.0014658768073526104,-0.04107613223172461,-0.0033533074253986215,-0.056342289572281774,-0.006104315495774865,-0.06302648424143616,-0.012118331173121975
volatility_clustering,-0.031123963761475373,0.0014663138509333664,-0.030011485999488656,0.0020288039418178087,-0.0428239864252369,0.0016839924515482541,-0.04285363378418391,0.001285956860742718
momentum_reversal,-0.016442215589674743,,-0.017338260573571455,,-0.023680634877108572,,-0.028163861656440844,
relative_strength,-0.01246900997525329,0.0010025741149929097,-0.00047181214788693545,0.002336008253443718,0.004098806220322742,0.004203729085616178,0.02584987528661109,0.012967961298625624
